09/09/15 TX gain 8~30~2, alpha 20~40~10, encoding 0~4~2 120s/2s
Encoding 0, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 49.61, SNR 1.12 dB
Encoding 0, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 49.29, SNR 4.31 dB
Encoding 0, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 51.02, SNR 3.10 dB
Encoding 0, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 51.57, SNR 3.57 dB
Encoding 0, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 50.08, SNR 3.33 dB
Encoding 0, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 48.51, SNR 3.36 dB
Encoding 0, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 51.34, SNR 3.01 dB
Encoding 0, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 51.49, SNR -1.16 dB
Encoding 0, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 46.86, SNR 1.85 dB
Encoding 0, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 49.84, SNR 3.06 dB
Encoding 0, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 51.02, SNR 4.62 dB
Encoding 0, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 50.71, SNR 3.63 dB
Encoding 0, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 47.96, SNR 2.98 dB
Encoding 0, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 52.67, SNR 3.34 dB
Encoding 0, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 50.16, SNR 4.15 dB
Encoding 0, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 39.15, SNR 4.24 dB
Encoding 0, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 49.14, SNR 3.93 dB
Encoding 0, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 49.37, SNR 3.38 dB
Encoding 0, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 45.75, SNR 3.74 dB
Encoding 0, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 46.54, SNR 4.03 dB
Encoding 0, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 51.49, SNR 3.06 dB
Encoding 0, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 51.42, SNR 3.70 dB
Encoding 0, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 50.39, SNR 3.14 dB
