09/09/17 TX gain 16~32~2, alpha 40, encoding 0~6~2 300s/3s Side channel Encoding 8-PSK
Encoding 0, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 19.17, SNR 4.13 dB
Encoding 0, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 40.21, SNR 3.25 dB
Encoding 0, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 20.62, SNR 4.07 dB
Encoding 0, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 49.84, SNR 3.40 dB
Encoding 0, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 08.59, SNR 4.46 dB
Encoding 0, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 51.93, SNR 2.90 dB
Encoding 0, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 48.33, SNR 2.00 dB
Encoding 0, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 49.01, SNR 2.99 dB
Encoding 0, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 50.73, SNR 1.64 dB
Encoding 0, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 50.83, SNR 2.17 dB
Encoding 0, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 48.91, SNR 3.16 dB
Encoding 0, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 49.38, SNR 2.35 dB
Encoding 0, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 48.91, SNR 2.16 dB
Encoding 0, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 52.71, SNR 1.95 dB
Encoding 0, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 48.75, SNR 2.59 dB
Encoding 0, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 49.48, SNR 2.57 dB
Encoding 0, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 50.21, SNR 2.81 dB
Encoding 0, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 49.27, SNR 2.18 dB
Encoding 0, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 48.12, SNR 2.22 dB
Encoding 0, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 48.54, SNR 2.77 dB
Encoding 0, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 51.09, SNR 2.63 dB
Encoding 0, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 50.42, SNR 2.53 dB
Encoding 0, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 49.17, SNR 2.27 dB
Encoding 0, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 50.68, SNR 2.47 dB
Encoding 0, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 49.48, SNR 2.46 dB
Encoding 0, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 50.89, SNR 2.31 dB
Encoding 0, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 48.59, SNR 2.49 dB
Encoding 0, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 52.24, SNR 2.75 dB
Encoding 0, SN 00000, Symbol length 27, Main channel BER 19.09, Side channel BER 48.59, SNR -4.93 dB
Encoding 0, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 50.10, SNR 2.11 dB
Encoding 0, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 48.70, SNR 2.91 dB
Encoding 0, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 49.17, SNR 2.76 dB
Encoding 0, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 52.86, SNR 2.73 dB
Encoding 0, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 50.26, SNR 2.91 dB
Encoding 0, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 51.04, SNR 2.28 dB
Encoding 0, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 51.09, SNR 2.16 dB
Encoding 0, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 47.45, SNR 1.58 dB
Encoding 0, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 51.88, SNR 1.72 dB
Encoding 0, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 49.48, SNR 2.53 dB
Encoding 0, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 49.53, SNR 2.14 dB
Encoding 0, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 49.79, SNR 2.61 dB
Encoding 0, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 51.77, SNR 1.97 dB
Encoding 0, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 49.64, SNR 2.19 dB
Encoding 0, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 49.48, SNR 2.52 dB
Encoding 0, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 49.27, SNR 2.69 dB
Encoding 0, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 51.46, SNR 2.32 dB
Encoding 0, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 49.53, SNR 2.78 dB
Encoding 0, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 49.38, SNR 2.39 dB
Encoding 0, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 50.68, SNR 2.76 dB
Encoding 0, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 50.21, SNR 2.84 dB
Encoding 0, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 50.94, SNR 2.40 dB
Encoding 0, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 51.09, SNR 2.43 dB
Encoding 0, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 51.20, SNR 2.20 dB
Encoding 0, SN 00000, Symbol length 27, Main channel BER 25.17, Side channel BER 49.32, SNR 0.28 dB
Encoding 0, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 48.96, SNR 1.95 dB
Encoding 0, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 51.35, SNR 2.21 dB
Encoding 0, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 50.52, SNR 2.63 dB
Encoding 0, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 51.25, SNR 3.03 dB
Encoding 0, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 49.48, SNR 2.65 dB
Encoding 0, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 46.77, SNR 1.95 dB
Encoding 0, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 50.31, SNR 2.93 dB
Encoding 0, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 51.25, SNR 2.55 dB
Encoding 0, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 50.21, SNR 1.89 dB
Encoding 0, SN 03078, Symbol length 27, Main channel BER 40.88, Side channel BER 49.69, SNR -21.25 dB
Encoding 0, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 49.69, SNR 2.86 dB
Encoding 0, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 48.54, SNR 1.33 dB
Encoding 0, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 49.84, SNR 2.65 dB
Encoding 0, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 49.69, SNR 2.84 dB
Encoding 0, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 49.95, SNR 2.65 dB
Encoding 0, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 46.56, SNR 3.25 dB
Encoding 0, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 50.52, SNR 1.52 dB
Encoding 0, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 51.35, SNR 2.76 dB
Encoding 0, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 49.58, SNR 2.56 dB
Encoding 0, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 51.15, SNR 2.01 dB
Encoding 0, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 50.57, SNR 2.66 dB
Encoding 0, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 49.90, SNR 2.29 dB
Encoding 0, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 50.00, SNR 2.36 dB
Encoding 0, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 50.62, SNR -0.67 dB
Encoding 0, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 51.15, SNR 2.84 dB
Encoding 0, SN 00000, Symbol length 27, Main channel BER 18.58, Side channel BER 47.71, SNR -15.66 dB
Encoding 0, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 48.28, SNR 2.92 dB
Encoding 0, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 49.11, SNR 2.51 dB
Encoding 0, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 49.58, SNR 2.64 dB
Encoding 0, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 52.24, SNR 2.73 dB
Encoding 0, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 51.51, SNR 3.17 dB
Encoding 0, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 49.38, SNR 2.34 dB
Encoding 0, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 47.50, SNR 2.95 dB
